iter	Passed	Remaining
582	5508	3940
583	5518	3930
584	5526	3920
585	5535	3910
586	5545	3901
587	5554	3892
588	5563	3882
589	5575	3874
590	5583	3864
591	5593	3854
592	5602	3845
593	5606	3831
594	5616	3823
595	5626	3814
596	5637	3805
597	5648	3796
598	5654	3785
599	5662	3775
600	5673	3766
601	5682	3756
602	5690	3746
603	5702	3738
604	5708	3727
605	5720	3719
606	5729	3709
607	5742	3702
608	5754	3694
609	5764	3685
610	5775	3677
611	5787	3668
612	5797	3659
613	5808	3651
614	5821	3644
615	5831	3635
616	5842	3626
617	5851	3616
618	5860	3607
619	5870	3598
620	5879	3588
621	5890	3579
622	5900	3570
623	5908	3560
624	5919	3551
625	5928	3542
626	5937	3532
627	5946	3522
628	5955	3512
629	5965	3503
630	5974	3493
631	5984	3484
632	5992	3474
633	6002	3465
634	6012	3455
635	6021	3446
636	6030	3436
637	6039	3426
638	6049	3417
639	6054	3405
640	6065	3396
641	6075	3387
642	6085	3378
643	6094	3368
644	6104	3359
645	6115	3350
646	6123	3340
647	6131	3330
648	6140	3321
649	6152	3313
650	6163	3304
651	6168	3292
652	6179	3283
653	6185	3272
654	6195	3263
655	6205	3254
656	6214	3244
657	6221	3233
658	6231	3224
659	6240	3214
660	6249	3205
661	6258	3195
662	6266	3185
663	6276	3176
664	6285	3166
665	6295	3157
666	6302	3146
667	6311	3136
668	6322	3128
669	6332	3118
670	6341	3109
671	6351	3100
672	6361	3090
673	6370	3081
674	6381	3072
675	6387	3061
676	6398	3052
677	6402	3040
678	6411	3031
679	6420	3021
680	6432	3013
681	6442	3003
682	6453	2995
683	6463	2986
684	6471	2976
685	6476	2964
686	6486	2955
687	6492	2944
688	6500	2934
689	6511	2925
690	6520	2915
691	6530	2906
692	6536	2895
693	6541	2884
694	6549	2874
695	6560	2865
696	6571	2856
697	6582	2847
698	6588	2837
699	6592	2825
700	6600	2815
701	6611	2806
702	6620	2796
703	6630	2787
704	6639	2778
705	6648	2768
706	6656	2758
707	6661	2747
708	6671	2738
709	6681	2728
710	6685	2717
711	6692	2707
712	6702	2697
713	6711	2688
714	6716	2677
715	6725	2667
716	6734	2658
717	6744	2648
718	6753	2639
719	6761	2629
720	6771	2620
721	6780	2610
722	6788	2600
723	6798	2591
724	6806	2581
725	6812	2571
726	6822	2562
727	6831	2552
728	6840	2542
729	6850	2533
730	6860	2524
731	6868	2514
732	6877	2505
733	6886	2495
734	6896	2486
735	6905	2476
736	6909	2465
737	6918	2456
738	6928	2447
739	6936	2437
740	6946	2427
741	6950	2416
742	6958	2406
743	6967	2397
744	6975	2387
745	6984	2378
746	6994	2368
747	7002	2359
748	7011	2349
749	7016	2338
750	7024	2328
751	7032	2319
752	7039	2309
753	7048	2299
754	7052	2288
755	7061	2279
756	7070	2269
757	7078	2259
758	7088	2250
759	7099	2242
760	7107	2232
761	7116	2222
762	7125	2213
763	7133	2203
764	7138	2192
765	7147	2183
766	7156	2174
767	7169	2165
768	7173	2154
769	7183	2145
770	7193	2136
771	7203	2127
772	7211	2117
773	7221	2108
774	7231	2099
775	7238	2089
776	7248	2080
777	7254	2069
778	7261	2060
779	7265	2049
780	7274	2039
781	7285	2031
782	7294	2021
783	7304	2012
784	7311	2002
785	7320	1993
786	7329	1983
787	7339	1974
788	7348	1965
789	7357	1955
790	7365	1946
791	7376	1937
792	7387	1928
793	7397	1919
794	7408	1910
795	7417	1901
796	7425	1891
797	7434	1881
798	7443	1872
799	7451	1862
800	7455	1852
801	7465	1842
802	7471	1833
803	7479	1823
804	7488	1813
805	7495	1804
806	7504	1794
807	7513	1785
808	7524	1776
809	7528	1766
810	7539	1757
811	7550	1748
812	7559	1738
813	7568	1729
814	7578	1720
815	7586	1710
816	7590	1700
817	7599	1690
818	7607	1681
819	7617	1672
820	7623	1662
821	7633	1652
822	7642	1643
823	7652	1634
824	7662	1625
825	7668	1615
826	7678	1606
827	7685	1596
828	7692	1586
829	7702	1577
830	7708	1567
831	7717	1558
832	7726	1549
833	7734	1539
834	7744	1530
835	7750	1520
836	7755	1510
837	7766	1501
838	7775	1491
839	7783	1482
840	7790	1472
841	7799	1463
842	7804	1453
843	7812	1444
844	7820	1434
845	7829	1425
846	7837	1415
847	7846	1406
848	7855	1397
849	7861	1387
850	7865	1377
851	7876	1368
852	7884	1358
853	7890	1348
854	7898	1339
855	7906	1330
856	7912	1320
857	7919	1310
858	7926	1301
859	7931	1291
860	7939	1281
861	7951	1272
862	7956	1263
863	7964	1253
864	7970	1243
865	7976	1234
866	7981	1224
867	7987	1214
868	7992	1204
869	8002	1195
870	8007	1186
871	8016	1176
872	8026	1167
873	8037	1158
874	8047	1149
875	8053	1139
876	8056	1129
877	8066	1120
878	8075	1111
879	8083	1102
880	8091	1092
881	8100	1083
882	8108	1074
883	8117	1065
884	8125	1055
885	8131	1046
886	8136	1036
887	8141	1026
888	8147	1017
889	8152	1007
890	8156	997
891	8162	988
892	8167	978
893	8175	969
894	8184	960
895	8190	950
896	8199	941
897	8206	932
898	8215	923
899	8223	913
900	8233	904
901	8245	895
902	8254	886
903	8259	877
904	8267	867
905	8275	858
906	8285	849
907	8292	840
908	8301	831
909	8309	821
910	8315	812
911	8319	802
912	8328	793
913	8333	784
914	8341	774
915	8351	765
916	8360	756
917	8368	747
918	8378	738
919	8384	729
920	8392	719
921	8399	710
922	8408	701
923	8415	692
924	8425	683
925	8429	673
926	8438	664
927	8447	655
928	8456	646
929	8465	637
930	8474	628
931	8480	618
932	8485	609
933	8494	600
934	8503	591
935	8510	581
936	8516	572
937	8526	563
938	8535	554
939	8545	545
940	8554	536
941	8558	526
942	8565	517
943	8574	508
944	8584	499
945	8597	490
946	8605	481
947	8617	472
948	8626	463
949	8631	454
950	8640	445
951	8650	436
952	8658	427
953	8664	417
954	8670	408
955	8679	399
956	8688	390
957	8699	381
958	8705	372
959	8713	363
960	8719	353
961	8726	344
962	8735	335
963	8744	326
964	8752	317
965	8761	308
966	8769	299
967	8776	290
968	8786	281
969	8791	271
970	8800	262
971	8809	253
972	8814	244
973	8820	235
974	8826	226
975	8832	217
976	8841	208
977	8848	199
978	8855	189
979	8865	180
980	8874	171
981	8880	162
982	8888	153
983	8896	144
984	8906	135
985	8919	126
986	8929	117
987	8937	108
988	8949	99
989	8958	90
990	8965	81
991	8971	72
992	8982	63
993	8987	54
994	8997	45
995	9005	36
996	9015	27
997	9025	18
998	9033	9
999	9043	0
